"Dataset";"Ys";"variable";"value"
"test";"LAYING";"1 tBodyAcc-mean()-X";0.267227589560521
"test";"SITTING";"1 tBodyAcc-mean()-X";0.272039760352342
"test";"STANDING";"1 tBodyAcc-mean()-X";0.278791235789474
"test";"WALKING";"1 tBodyAcc-mean()-X";0.276526397258064
"test";"WALKING_DOWNSTAIRS";"1 tBodyAcc-mean()-X";0.288062900461905
"test";"WALKING_UPSTAIRS";"1 tBodyAcc-mean()-X";0.263126445989384
"train";"LAYING";"1 tBodyAcc-mean()-X";0.26919100708877
"train";"SITTING";"1 tBodyAcc-mean()-X";0.273448998825428
"train";"STANDING";"1 tBodyAcc-mean()-X";0.279293757074236
"train";"WALKING";"1 tBodyAcc-mean()-X";0.276260200872757
"train";"WALKING_DOWNSTAIRS";"1 tBodyAcc-mean()-X";0.288168888475659
"train";"WALKING_UPSTAIRS";"1 tBodyAcc-mean()-X";0.261929527252004
"test";"LAYING";"2 tBodyAcc-mean()-Y";-0.0182456228329236
"test";"SITTING";"2 tBodyAcc-mean()-Y";-0.0141221515132994
"test";"STANDING";"2 tBodyAcc-mean()-Y";-0.0162262731035301
"test";"WALKING";"2 tBodyAcc-mean()-Y";-0.018250712002498
"test";"WALKING_DOWNSTAIRS";"2 tBodyAcc-mean()-Y";-0.0161751510247702
"test";"WALKING_UPSTAIRS";"2 tBodyAcc-mean()-Y";-0.0242744604190291
"train";"LAYING";"2 tBodyAcc-mean()-Y";-0.0183452479771855
"train";"SITTING";"2 tBodyAcc-mean()-Y";-0.0121426088459798
"train";"STANDING";"2 tBodyAcc-mean()-Y";-0.0161230846636681
"train";"WALKING";"2 tBodyAcc-mean()-Y";-0.0177677108511182
"train";"WALKING_DOWNSTAIRS";"2 tBodyAcc-mean()-Y";-0.0163701864217556
"train";"WALKING_UPSTAIRS";"2 tBodyAcc-mean()-Y";-0.0266470525735974
"test";"LAYING";"3 tBodyAcc-mean()-Z";-0.108134996675233
"test";"SITTING";"3 tBodyAcc-mean()-Z";-0.102730909698778
"test";"STANDING";"3 tBodyAcc-mean()-Z";-0.10466868287406
"test";"WALKING";"3 tBodyAcc-mean()-Z";-0.108875750766129
"test";"WALKING_DOWNSTAIRS";"3 tBodyAcc-mean()-Z";-0.105529914174286
"test";"WALKING_UPSTAIRS";"3 tBodyAcc-mean()-Z";-0.120798485155414
"train";"LAYING";"3 tBodyAcc-mean()-Z";-0.107168709636461
"train";"SITTING";"3 tBodyAcc-mean()-Z";-0.106580744993313
"train";"STANDING";"3 tBodyAcc-mean()-Z";-0.10732962785709
"train";"WALKING";"3 tBodyAcc-mean()-Z";-0.108884089505465
"train";"WALKING_DOWNSTAIRS";"3 tBodyAcc-mean()-Z";-0.105860325152107
"train";"WALKING_UPSTAIRS";"3 tBodyAcc-mean()-Z";-0.120423564420037
"test";"LAYING";"41 tGravityAcc-mean()-X";-0.385937754614525
"test";"SITTING";"41 tGravityAcc-mean()-X";0.9028616299389
"test";"STANDING";"41 tGravityAcc-mean()-X";0.943091097537594
"test";"WALKING";"41 tGravityAcc-mean()-X";0.939130584415323
"test";"WALKING_DOWNSTAIRS";"41 tGravityAcc-mean()-X";0.931437114714286
"test";"WALKING_UPSTAIRS";"41 tGravityAcc-mean()-X";0.880983929469214
"train";"LAYING";"41 tGravityAcc-mean()-X";-0.370854938686567
"train";"SITTING";"41 tGravityAcc-mean()-X";0.870899899300156
"train";"STANDING";"41 tGravityAcc-mean()-X";0.940855692081514
"train";"WALKING";"41 tGravityAcc-mean()-X";0.933317070057096
"train";"WALKING_DOWNSTAIRS";"41 tGravityAcc-mean()-X";0.924336230375254
"train";"WALKING_UPSTAIRS";"41 tGravityAcc-mean()-X";0.872378174930103
"test";"LAYING";"42 tGravityAcc-mean()-Y";0.594350912979516
"test";"SITTING";"42 tGravityAcc-mean()-Y";0.071857995734034
"test";"STANDING";"42 tGravityAcc-mean()-Y";-0.189637522767538
"test";"WALKING";"42 tGravityAcc-mean()-Y";-0.189780957912097
"test";"WALKING_DOWNSTAIRS";"42 tGravityAcc-mean()-Y";-0.171822241287476
"test";"WALKING_UPSTAIRS";"42 tGravityAcc-mean()-Y";-0.268759574031847
"train";"LAYING";"42 tGravityAcc-mean()-Y";0.632926187069652
"train";"SITTING";"42 tGravityAcc-mean()-Y";0.122785136286184
"train";"STANDING";"42 tGravityAcc-mean()-Y";-0.182159165492402
"train";"WALKING";"42 tGravityAcc-mean()-Y";-0.199518178897227
"train";"WALKING_DOWNSTAIRS";"42 tGravityAcc-mean()-Y";-0.167095144852028
"train";"WALKING_UPSTAIRS";"42 tGravityAcc-mean()-Y";-0.28691577583411
"test";"LAYING";"43 tGravityAcc-mean()-Z";0.503317463620112
"test";"SITTING";"43 tGravityAcc-mean()-Z";0.131904738775356
"test";"STANDING";"43 tGravityAcc-mean()-Z";0.0204009151990789
"test";"WALKING";"43 tGravityAcc-mean()-Z";-0.0264384787160887
"test";"WALKING_DOWNSTAIRS";"43 tGravityAcc-mean()-Z";-0.038043391203381
"test";"WALKING_UPSTAIRS";"43 tGravityAcc-mean()-Z";-0.123669693229008
"train";"LAYING";"43 tGravityAcc-mean()-Z";0.57557155056091
"train";"SITTING";"43 tGravityAcc-mean()-Z";0.162123894662294
"train";"STANDING";"43 tGravityAcc-mean()-Z";-0.0273917941389855
"train";"WALKING";"43 tGravityAcc-mean()-Z";-0.0649048773550457
"train";"WALKING_DOWNSTAIRS";"43 tGravityAcc-mean()-Z";-0.0521996569589989
"train";"WALKING_UPSTAIRS";"43 tGravityAcc-mean()-Z";-0.148313217708166
"test";"LAYING";"81 tBodyAccJerk-mean()-X";0.0825682671290503
"test";"SITTING";"81 tBodyAccJerk-mean()-X";0.076153849587169
"test";"STANDING";"81 tBodyAccJerk-mean()-X";0.075468957712782
"test";"WALKING";"81 tBodyAccJerk-mean()-X";0.0731737339316129
"test";"WALKING_DOWNSTAIRS";"81 tBodyAccJerk-mean()-X";0.0916206223598452
"test";"WALKING_UPSTAIRS";"81 tBodyAccJerk-mean()-X";0.0734505822969214
"train";"LAYING";"81 tBodyAccJerk-mean()-X";0.0815722575616205
"train";"SITTING";"81 tBodyAccJerk-mean()-X";0.0757738529781182
"train";"STANDING";"81 tBodyAccJerk-mean()-X";0.07485715063377
"train";"WALKING";"81 tBodyAccJerk-mean()-X";0.0781529317778793
"train";"WALKING_DOWNSTAIRS";"81 tBodyAccJerk-mean()-X";0.0882069647409736
"train";"WALKING_UPSTAIRS";"81 tBodyAccJerk-mean()-X";0.0781685444347158
"test";"LAYING";"82 tBodyAccJerk-mean()-Y";0.0107112016761881
"test";"SITTING";"82 tBodyAccJerk-mean()-Y";0.00523557345498982
"test";"STANDING";"82 tBodyAccJerk-mean()-Y";0.00888523101716541
"test";"WALKING";"82 tBodyAccJerk-mean()-Y";0.00998238899389113
"test";"WALKING_DOWNSTAIRS";"82 tBodyAccJerk-mean()-Y";-0.00322121589102381
"test";"WALKING_UPSTAIRS";"82 tBodyAccJerk-mean()-Y";0.00490440295949045
"train";"LAYING";"82 tBodyAccJerk-mean()-Y";0.0113483623410661
"train";"SITTING";"82 tBodyAccJerk-mean()-Y";0.00497487103109658
"train";"STANDING";"82 tBodyAccJerk-mean()-Y";0.00877429407298399
"train";"WALKING";"82 tBodyAccJerk-mean()-Y";0.0121226741316897
"train";"WALKING_DOWNSTAIRS";"82 tBodyAccJerk-mean()-Y";0.00243695730748479
"train";"WALKING_UPSTAIRS";"82 tBodyAccJerk-mean()-Y";0.0104508404666636
"test";"LAYING";"83 tBodyAccJerk-mean()-Z";-0.00364736361863873
"test";"SITTING";"83 tBodyAccJerk-mean()-Z";-0.00410731471661263
"test";"STANDING";"83 tBodyAccJerk-mean()-Z";-0.00641548605615977
"test";"WALKING";"83 tBodyAccJerk-mean()-Z";0.00123049294354839
"test";"WALKING_DOWNSTAIRS";"83 tBodyAccJerk-mean()-Z";-0.00838420495773809
"test";"WALKING_UPSTAIRS";"83 tBodyAccJerk-mean()-Z";-0.00709425056157112
"train";"LAYING";"83 tBodyAccJerk-mean()-Z";-0.00532249999608209
"train";"SITTING";"83 tBodyAccJerk-mean()-Z";-0.00186788827412442
